country_coordinates,Country,Total Deaths,Total Affected,Total Damages ('000 US$),Lat,Lng
189,Sudan (the),162327.0,36144252.0,808200.0,30.8265283,30.5414254
190,Suriname,5.0,41648.0,0.0,4.1413025,-56.0771187
191,Swaziland,709.0,3274262.0,55941.0,-26.5624806,31.3991317
192,Sweden,43.0,13900.0,3258800.0,59.6749712,14.5208584
193,Switzerland,1189.0,9901.0,8179760.0,46.7985624,8.2319736
194,Syrian Arab Republic,225.0,7359122.0,39000.0,34.6401861,39.0494106
195,Taiwan (Province of China),4531.0,3849149.0,22213690.0,32.32812,118.76384
196,Tajikistan,2252.0,6808700.0,1814384.0,38.6281733,70.8156541
197,"Tanzania, United Republic of",10422.0,16250487.0,466790.0,38.9128027,-77.048333
198,Thailand,13858.0,110231968.0,52582908.0,14.8971921,100.83273
199,Timor-Leste,73.0,288572.0,24000.0,-8.7443169,126.063482
200,Togo,1199.0,1226830.0,500.0,8.7800265,1.0199765
201,Tokelau,0.0,1858.0,2900.0,-9.1676396,-171.819687
202,Tonga,22.0,282801.0,233400.0,-19.9160819,-175.202642
203,Trinidad and Tobago,10.0,203187.0,34827.0,10.7466905,-61.0840075
204,Tunisia,352.0,367398.0,373800.0,33.8439408,9.400138
205,Turkey,31421.0,9004289.0,28614900.0,38.9597594,34.9249653
206,Turkmenistan,11.0,420.0,99870.0,39.3763807,59.3924609
207,Turks and Caicos Islands (the),4.0,2470.0,1000005.0,21.81663,-71.752704
208,Tuvalu,6.0,21867.0,0.0,-8.6405212,179.1582918181797
209,Uganda,2969.0,6878169.0,78471.0,1.5333554,32.2166578
210,Ukraine,1505.0,2911081.0,3835475.0,49.4871968,31.2718321
211,United Arab Emirates (the),0.0,188.0,0.0,23.7555,54.703331
212,United Kingdom of Great Britain and Northern Ireland (the),4110.0,767385.0,37384680.0,52.45777545,-1.869209938214711
213,United States of America (the),18052.0,115610298.0,1223099230.0,47.8281626,-122.598365
214,Uruguay,36.0,255740.0,828000.0,-32.8755548,-56.0201525
215,Uzbekistan,99.0,722104.0,50000.0,41.32373,63.9528098
216,Vanuatu,156.0,637873.0,656400.0,-16.5255069,168.1069154
217,Venezuela (Bolivarian Republic of),30956.0,2419817.0,3610300.0,8.0018709,-66.1109318
218,Viet Nam,18155.0,96675791.0,23339566.0,15.9266657,107.9650855
219,Virgin Island (British),9.0,3.0,3012000.0,49.197337,-123.177752
220,Virgin Island (U.S.),17.0,20000.0,1237800.0,40.91506,-80.74563
221,Wallis and Futuna,6.0,5772.0,0.0,-13.289402,-176.204224
222,Yemen,2259.0,1488389.0,1831500.0,16.3471243,47.8915271
223,Yemen Arab Rep,1657.0,604362.0,2012700.0,-20.335,57.40056
224,Yemen P Dem Rep,507.0,705000.0,1040200.0,-34.627749,-58.830283
225,Yugoslavia,298.0,330014.0,2421100.0,23.04123655,-81.52614194734898
226,Zambia,1420.0,11548950.0,20900.0,-14.5189121,27.5589884
227,Zimbabwe,7604.0,27382277.0,1037700.0,-18.4554963,29.7468414
